workerID,name,plantID,hireDate,role
W00244,Gregory Brennan,PL029,2016-07-27,Engineer
W00245,Allison Brown,PL029,2025-05-01,Engineer
W00246,Cindy Garcia,PL014,2018-12-19,Engineer
W00247,Sylvia Edwards,PL041,2022-03-02,Technician
W00248,Christopher Fisher,PL031,2021-12-25,Technician
W00249,Daniel Hall,PL018,2019-06-23,Supervisor
W00250,Helen Jones,PL011,2024-09-28,Technician
W00251,Jesse Hoffman,PL029,2024-09-17,Supervisor
W00252,Joseph Mann,PL045,2024-03-09,Engineer
W00253,Karen Solis,PL013,2019-08-30,Engineer
W00254,Jacob Jones,PL012,2022-11-04,Operator
W00255,Benjamin Lopez,PL042,2018-12-01,Technician
W00256,David Bell,PL018,2023-06-27,Supervisor
W00257,Mrs. Angela Ortega DVM,PL005,2024-01-06,Operator
W00258,Christopher Washington,PL020,2024-11-05,Supervisor
W00259,Dr. Patricia Martin,PL011,2023-05-28,Technician
W00260,Erica White,PL039,2022-05-06,Technician
W00261,Emily Cooper,PL007,2019-01-13,Technician
W00262,Tonya Moreno,PL042,2015-10-04,Engineer
W00263,Robyn Hester,PL013,2021-08-21,Engineer
W00264,Kevin Mann,PL012,2016-08-14,Technician
W00265,Samuel Ramirez,PL028,2019-07-16,Operator
W00266,Shannon Benson,PL011,2015-09-02,Engineer
W00267,Michael Lopez,PL015,2019-02-22,Technician
W00268,Thomas Castaneda,PL011,2016-12-01,Engineer
W00269,Lindsay Morris,PL007,2021-11-21,Operator
W00270,Amanda Little,PL014,2021-08-10,Operator
W00271,Darlene Gutierrez,PL030,2020-01-05,Operator
W00272,Jesse Sanford,PL027,2021-04-06,Technician
W00273,Dana George,PL032,2023-10-01,Engineer
W00274,Beth Soto,PL029,2016-09-13,Supervisor
W00275,Jill Oneill,PL007,2020-10-01,Operator
W00276,Diana Moore,PL022,2025-02-08,Supervisor
W00277,Melinda Parker,PL010,2017-07-19,Operator
W00278,Jesse Miller,PL044,2019-06-07,Engineer
W00279,Jackie Nunez,PL003,2024-09-23,Supervisor
W00280,Micheal Keller,PL013,2018-12-08,Operator
W00281,Jason Martinez,PL036,2020-12-07,Technician
W00282,Steven Kelly,PL027,2024-10-12,Supervisor
W00283,Daniel Medina,PL043,2024-01-01,Technician
W00284,Donna Clark,PL048,2020-10-16,Technician
W00285,Stacey Craig,PL027,2024-09-27,Engineer
W00286,Denise Jones,PL008,2021-08-09,Supervisor
W00287,Tiffany Barrett,PL041,2022-12-02,Engineer
W00288,Lindsey Nguyen,PL029,2019-08-30,Engineer
W00289,Justin Forbes,PL032,2020-02-25,Engineer
W00290,Christopher Ramos,PL023,2025-04-26,Operator
W00291,Veronica Orr,PL019,2023-08-02,Supervisor
W00292,Edward Davidson,PL032,2022-10-06,Supervisor
W00293,Diane Andersen,PL042,2024-05-03,Technician
W00294,Bianca Clayton,PL045,2018-04-16,Technician
W00295,Melissa Ray,PL011,2018-06-25,Technician
W00296,Jeffrey Le,PL035,2020-08-29,Operator
W00297,Sara Turner,PL048,2015-11-28,Technician
W00298,Randall Miranda,PL022,2016-08-31,Engineer
W00299,James Jones,PL040,2018-07-10,Technician
W00300,Brittany Hughes,PL029,2021-09-16,Supervisor
W00301,Zachary Allen,PL033,2024-05-18,Engineer
W00302,Bethany Haas,PL036,2024-09-01,Technician
W00303,Tammy Jones,PL045,2025-05-07,Supervisor
W00304,Kaitlyn Snyder,PL020,2024-09-12,Engineer
W00305,Miranda Mason,PL004,2020-05-15,Engineer
W00306,Kari Mcintosh,PL039,2018-04-06,Engineer
W00307,Felicia Farley,PL021,2016-06-18,Operator
W00308,Christopher Ward,PL048,2017-04-05,Engineer
W00309,Kevin Cox,PL049,2021-01-25,Supervisor
W00310,Shelby Ramirez,PL046,2021-01-26,Supervisor
W00311,Mckenzie Walsh,PL037,2021-03-18,Technician
W00312,Jasmine Brandt,PL041,2020-12-01,Operator
W00313,Jeffrey Cox,PL038,2021-01-17,Supervisor
W00314,Brittany Riley,PL027,2016-02-06,Engineer
W00315,Daniel Johnson,PL042,2016-07-05,Operator
W00316,Christopher Hernandez,PL004,2016-01-17,Engineer
W00317,Daniel Frey,PL001,2016-08-15,Engineer
W00318,Jennifer Thompson,PL018,2018-02-13,Operator
W00319,Holly Spencer,PL011,2021-10-14,Operator
W00320,David Weaver,PL049,2024-09-03,Supervisor
W00321,Patrick Townsend,PL020,2017-04-02,Engineer
W00322,Rebecca Luna,PL050,2025-01-19,Engineer
W00323,Karen Johnson,PL026,2025-01-10,Engineer
W00324,Colin Brown,PL049,2024-04-01,Technician
W00325,Timothy Cook,PL044,2017-06-21,Supervisor
W00326,Gabriel Hamilton,PL016,2020-10-07,Operator
W00327,Misty Patel,PL030,2015-09-04,Engineer
W00328,Michael Anderson,PL038,2023-09-18,Technician
W00329,Jason Reynolds,PL008,2018-01-26,Technician
W00330,Thomas Weaver,PL032,2019-01-11,Technician
W00331,Christopher Brown,PL008,2021-05-22,Technician
W00332,Henry Wheeler,PL041,2016-09-21,Operator
W00333,Paul Rodriguez,PL046,2016-02-29,Engineer
W00334,Christina Brown,PL020,2023-02-04,Operator
W00335,Donald Vasquez,PL034,2025-01-05,Supervisor
W00336,Thomas Escobar,PL026,2020-11-04,Operator
W00337,Christine Johnson,PL032,2019-11-15,Supervisor
W00338,Olivia Martin,PL020,2017-10-17,Supervisor
W00339,Shawn Stevenson,PL045,2016-10-11,Operator
W00340,Crystal Carpenter,PL002,2018-09-08,Operator
W00341,Carrie Thomas,PL014,2023-12-20,Engineer
W00342,Autumn Bridges,PL013,2025-01-08,Supervisor
W00343,Maxwell Collier,PL046,2017-12-26,Engineer
W00344,Michelle Mason,PL005,2020-07-18,Supervisor
W00345,Matthew Santiago,PL022,2023-08-23,Engineer
W00346,Cindy Sanchez,PL025,2021-01-27,Engineer
W00347,Angela Robles,PL022,2018-12-23,Supervisor
W00348,Kristy Russell,PL011,2024-08-15,Supervisor
W00349,Christopher Ortiz,PL034,2020-11-13,Operator
W00350,Barbara Herman,PL043,2018-05-24,Operator
W00351,Erin Stuart,PL007,2017-06-11,Engineer
W00352,Kenneth Franco,PL041,2023-03-12,Supervisor
W00353,Katie Oliver,PL014,2023-10-22,Engineer
W00354,John Delacruz,PL041,2017-11-16,Technician
W00355,Sarah Bean,PL044,2016-03-20,Supervisor
W00356,Brian James,PL043,2020-09-19,Supervisor
W00357,Joseph Young,PL030,2023-10-22,Engineer
W00358,Erin Smith,PL015,2016-01-09,Operator
W00359,Debbie Caldwell,PL039,2015-10-16,Operator
W00360,Carla Reyes,PL041,2024-09-11,Operator
W00361,Jason Andersen,PL048,2025-02-23,Operator
W00362,Troy Crosby,PL022,2022-11-11,Engineer
W00363,Christopher Charles,PL046,2018-11-13,Operator
W00364,Michael Palmer,PL017,2024-05-07,Engineer
W00365,Rebecca Booker,PL040,2019-08-15,Operator
W00366,Sandra James,PL023,2019-12-17,Technician
W00367,Sandra Anderson,PL031,2023-12-05,Operator
W00368,Michele Short,PL028,2019-05-18,Operator
W00369,Angela Davis,PL026,2020-11-30,Supervisor
W00370,Earl Hansen,PL041,2018-02-25,Engineer
W00371,Scott Holland,PL014,2025-06-07,Technician
W00372,Nancy Martinez,PL004,2019-11-19,Technician
W00373,Edgar Gonzales,PL036,2016-03-16,Engineer
W00374,Dr. Adam Fuller,PL005,2023-09-06,Technician
W00375,Kimberly Richardson,PL008,2021-03-10,Supervisor
W00376,Taylor Fernandez,PL018,2015-08-13,Supervisor
W00377,Sandy Campbell,PL014,2025-04-01,Supervisor
W00378,Jeffrey Young,PL019,2018-12-05,Engineer
W00379,Michael Cruz,PL029,2017-10-05,Supervisor
W00380,Cassandra Orozco,PL011,2018-11-27,Technician
W00381,Karen Pollard,PL019,2018-01-28,Operator
W00382,Alexander Arnold,PL014,2024-10-25,Supervisor
W00383,Marco Ramirez,PL009,2023-08-27,Technician
W00384,Richard Moore,PL035,2023-08-26,Engineer
W00385,Sylvia Mayer,PL040,2025-02-20,Supervisor
W00386,Sheryl Ryan,PL032,2019-01-24,Technician
W00387,Ronald Hammond,PL011,2024-12-12,Supervisor
W00388,Megan Gonzalez,PL045,2016-07-18,Technician
W00389,Taylor Small,PL029,2025-02-07,Operator
W00390,William Santos,PL044,2023-08-28,Operator
W00391,Susan Mooney,PL014,2022-11-05,Operator
W00392,Andrea Miller,PL039,2017-02-20,Technician
W00393,Jessica Barrett,PL008,2019-04-23,Supervisor
W00394,Stephen Costa,PL008,2023-08-11,Operator
W00395,Thomas Rodriguez,PL023,2016-11-04,Supervisor
W00396,Joshua Pace,PL045,2025-02-10,Supervisor
W00397,Matthew Washington,PL046,2021-12-31,Engineer
W00398,Anthony Mueller,PL045,2017-08-21,Technician
W00399,Travis Woodard,PL011,2024-04-10,Supervisor
W00400,Isabella Thompson,PL042,2022-03-05,Supervisor
W00401,Jonathan Reed,PL042,2024-03-25,Technician
W00402,Shannon Orozco,PL048,2016-10-11,Engineer
W00403,Todd Gilbert,PL021,2025-06-01,Engineer
W00404,Julie Reed,PL039,2018-08-31,Technician
W00405,Carl Cunningham,PL013,2016-12-28,Supervisor
W00406,Ashlee Dixon,PL041,2016-11-25,Operator
W00407,Sonia Lloyd,PL020,2016-02-25,Operator
W00408,Emily Robertson,PL009,2023-05-14,Operator
W00409,Richard Myers,PL021,2022-04-26,Engineer
W00410,Veronica Mccullough,PL031,2023-05-08,Engineer
W00411,Charles Knight,PL042,2020-02-12,Technician
W00412,Brian Becker,PL037,2024-11-30,Engineer
W00413,Raymond Leach,PL017,2018-08-28,Technician
W00414,Jonathan Young,PL017,2015-08-09,Supervisor
W00415,Dawn Knight,PL050,2015-12-17,Technician
W00416,Rebekah Gonzalez,PL036,2015-07-17,Supervisor
W00417,James Johnson,PL001,2021-07-27,Technician
W00418,Megan Brown,PL023,2022-12-25,Supervisor
W00419,Melissa Smith,PL034,2017-11-14,Technician
W00420,Tyrone Medina,PL034,2025-05-18,Supervisor
W00421,Melanie Craig,PL016,2023-09-25,Operator
W00422,Kathleen Sims,PL029,2021-06-15,Engineer
W00423,Michele Peck,PL043,2021-05-09,Operator
W00424,Sheila Horton,PL047,2023-07-16,Operator
W00425,Eric Steele,PL023,2020-10-11,Supervisor
W00426,Ryan Ryan,PL049,2024-10-18,Engineer
W00427,Kenneth Mason,PL019,2016-09-29,Operator
W00428,Emily Mitchell,PL001,2017-08-08,Supervisor
W00429,Amanda Rogers,PL028,2016-10-30,Technician
W00430,Jacob Tucker,PL016,2021-06-13,Supervisor
W00431,John Holland,PL003,2023-05-19,Technician
W00432,Justin Walker,PL046,2024-02-14,Supervisor
W00433,Thomas Garcia,PL043,2019-07-02,Supervisor
W00434,Ellen White,PL029,2021-01-15,Technician
W00435,Chelsey Hall,PL018,2024-07-22,Operator
W00436,Jessica Bright,PL016,2023-08-26,Operator
W00437,Darrell Campbell,PL029,2020-09-15,Supervisor
W00438,Douglas Fuller,PL039,2024-07-18,Technician
W00439,William Moore,PL035,2020-07-24,Engineer
W00440,James Morales,PL028,2024-11-02,Technician
W00441,Andre Greer,PL007,2025-05-19,Supervisor
W00442,Anita Romero,PL002,2022-03-04,Supervisor
W00443,Alison Hanson,PL009,2025-03-10,Operator
W00444,Melissa Ward,PL012,2024-10-04,Operator
W00445,Frank Bentley,PL034,2018-06-19,Technician
W00446,Stanley Randall,PL003,2021-08-08,Technician
W00447,Donna Morton,PL008,2023-12-27,Supervisor
W00448,Daniel Johnson,PL049,2019-09-03,Engineer
W00449,Amber Trujillo,PL003,2022-05-22,Engineer
W00450,Sydney Wood,PL032,2025-03-06,Engineer
W00451,Benjamin Parker,PL040,2021-06-25,Supervisor
W00452,Krista Harris,PL012,2018-10-25,Supervisor
W00453,Jorge Daniels,PL033,2015-11-22,Technician
W00454,Robert Lewis,PL022,2021-05-06,Technician
W00455,Michael Hunter,PL010,2022-02-18,Operator
W00456,Samantha Morris,PL032,2020-12-13,Operator
W00457,Diamond Rodriguez,PL009,2016-05-21,Supervisor
W00458,Brandon Tran,PL009,2023-11-13,Engineer
W00459,Cheryl Mcclain,PL021,2020-07-23,Technician
W00460,Beverly Atkins,PL050,2015-06-24,Operator
W00461,Mrs. Kristin Brown,PL019,2024-03-14,Technician
W00462,Fernando Phillips,PL038,2023-02-21,Operator
W00463,Phyllis Brown,PL005,2022-11-06,Technician
W00464,Eric Ross,PL028,2018-02-27,Operator
W00465,Jennifer Cruz,PL041,2015-07-16,Supervisor
W00466,Michael Kelly,PL012,2018-08-11,Supervisor
W00467,John Silva,PL046,2021-06-13,Engineer
W00468,Nichole Ellis,PL023,2016-01-05,Supervisor
W00469,Jacqueline Barker,PL044,2019-11-14,Operator
W00470,Donald Johnson,PL049,2021-05-31,Technician
W00471,Tiffany Walker,PL047,2024-05-09,Technician
W00472,Sharon Wilson,PL011,2016-01-19,Operator
W00473,Jeffrey Wood,PL043,2022-04-01,Supervisor
W00474,Charles Thompson,PL044,2024-03-11,Operator
W00475,Marcus Lozano,PL011,2024-02-16,Operator
W00476,Austin Jackson,PL036,2022-12-23,Technician
W00477,Daniel Gallagher,PL040,2020-06-10,Engineer
W00478,Victoria Guerra,PL021,2024-07-02,Engineer
W00479,Deborah Johnson,PL015,2020-02-25,Engineer
W00480,Sean Bishop,PL021,2020-08-26,Engineer
W00481,Bruce Foster,PL009,2021-03-20,Operator
W00482,Michelle Graham,PL016,2020-05-04,Supervisor
W00483,Kyle Duran,PL034,2021-10-17,Operator
W00484,Laurie Patel,PL038,2022-04-25,Operator
W00485,Mary Jones,PL037,2024-11-30,Technician
W00486,Heather Hawkins,PL026,2020-06-01,Technician
W00487,Eric Williams,PL014,2017-05-29,Operator
W00488,Lisa Guerrero,PL014,2015-12-27,Operator
W00489,Ashley Reid,PL041,2018-09-26,Supervisor
W00490,Lisa Bailey,PL031,2021-10-23,Operator
W00491,Charlene Snyder,PL023,2023-12-28,Engineer
W00492,Rebecca Meyer,PL036,2022-03-26,Engineer
W00493,Robert Hancock,PL025,2025-03-13,Supervisor
